Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_1,return_3,MA_5,STD_5,HL_range,upper_shadow,lower_shadow,SMA_12,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_mid,BB_std,BB_upper,BB_lower,ATR_14,VWAP_5,OBV,hour,minute,weekday
2025-04-06 23:50:00+00:00,78443.7421875,78443.7421875,78179.375,78194.9375,410718208,0.0,0.0,-0.003894275544327752,0.003340843305557284,78044.228125,427.08254490767206,264.3671875,0.0,15.5625,77763.03255208333,77985.24563844853,78220.48583788548,-235.24019943695748,-341.7034893205031,47.67742421200562,78061.762890625,542.2535434242752,79146.26997747355,76977.25580377645,294.47433035714283,78117.91635398442,-1009979392,23,50,6
2025-04-06 23:55:00+00:00,78242.34375,78242.34375,78059.140625,78088.5625,276938752,0.0,0.0,-0.0013603821858672038,-0.0016984039996240652,78188.025,207.9802927365184,183.203125,0.0,29.421875,77777.75455729167,78001.14054022568,78210.71373878286,-209.5731985571765,-315.2774311678378,50.332352216520384,78034.2671875,525.1435136024377,79084.55421470487,76983.98016029512,283.2924107142857,78217.10122759268,-1286918144,23,55,6
2025-04-07 00:00:00+00:00,78337.90625,78411.7265625,78273.5078125,78273.5078125,0,0.0,0.0,0.00236840462391652,-0.002893388011761866,78255.8125,152.57417499613993,138.21875,73.8203125,0.0,77799.94466145833,78043.04319749866,78215.3651516508,-172.32195415213937,-286.68633576469813,56.5517058839099,78016.132421875,509.2858930846887,79034.70420804436,76997.56063570562,287.9486607142857,78217.10122759268,-1286918144,0,0,0
2025-04-07 00:05:00+00:00,77878.6796875,78029.46875,77878.6796875,77909.28125,796631040,0.0,0.0,-0.004653254628277148,-0.003653129718276249,78193.3859375,219.39165418225292,150.7890625,120.1875,0.0,77827.87174479167,78022.464436345,78192.69227004703,-170.22783370202524,-263.39463535216356,49.96023370709691,77969.410546875,470.7737006565399,78910.95794818808,77027.86314556193,301.9536830357143,78063.59241538156,-2083549184,0,5,0
2025-04-07 00:10:00+00:00,77873.078125,77873.078125,77450.3671875,77450.3671875,0,0.0,0.0,-0.005890364474386622,-0.008172711752761463,77983.33125,327.71456820552345,422.7109375,0.0,0.0,77824.671875,77934.44947498424,78137.7052268954,-203.25575191115786,-251.36685866396243,42.380758952431854,77897.98203125,432.31663231388734,78762.61529587777,77033.34876662222,323.93080357142856,78021.77569092791,-2083549184,0,10,0
2025-04-07 00:15:00+00:00,77411.0859375,77876.25,77411.0859375,77869.9609375,1211973632,0.0,0.0,0.005417582449728231,-0.0051555997204912885,77918.3359375,306.8146925828982,465.1640625,6.2890625,0.0,77873.48567708333,77924.52816152512,78117.87231656982,-193.34415504470235,-239.76231794011045,54.06233571160346,77852.166015625,378.4165954715199,78608.99920656804,77095.33282468196,326.2232142857143,77910.15401560097,-871575552,0,15,0
2025-04-07 00:20:00+00:00,77815.078125,77897.9296875,77757.0546875,77757.0546875,44756992,0.0,0.0,-0.0014499333072816034,-0.0019538950951366596,77852.034375,296.4776953711032,140.875,82.8515625,0.0,77918.39453125,77898.7630116751,78091.14508478687,-192.38207311177393,-230.28626897444315,53.656822426721924,77823.04140625,360.943535463451,78544.9284771769,77101.15433532311,317.5150669642857,77882.75480512332,-916332544,0,20,0
2025-04-07 00:25:00+00:00,77847.4609375,78219.6875,77847.4609375,78219.6875,50159616,0.0,0.0,0.005949721402891184,0.009933075083266463,77841.2703125,277.734464915198,372.2265625,0.0,0.0,77982.46354166667,77948.13600987893,78100.66674517303,-152.53073529410176,-214.73516223837487,61.912853501638544,77830.577734375,367.8558258103075,78566.28938599561,77094.86608275438,322.01395089285717,77890.78914960727,-866172928,0,25,0
2025-04-07 00:30:00+00:00,78245.6640625,78245.6640625,78016.765625,78016.765625,631107584,0.0,0.0,-0.0025942557620164397,0.0018852544130314453,77862.7671875,288.2742925249067,228.8984375,0.0,0.0,78036.39583333333,77958.69441220525,78094.45184738244,-135.75743517719093,-198.9396168261381,59.82726365557327,77837.07890625,370.0431300022041,78577.1651662544,77096.99264624559,323.51283482142856,77924.21195692736,-1497280512,0,30,0
2025-04-07 00:35:00+00:00,77932.7890625,78057.796875,77919.71875,78057.796875,303284224,0.0,0.0,0.0005259286215122394,0.0038677157810138585,77984.253125,177.8882548666597,138.078125,0.0,13.0703125,78046.66471354167,77973.94094494291,78091.73666424301,-117.7957193001057,-182.71083732093163,57.838341768167176,77844.373828125,373.02184110911287,78590.41751034322,77098.33014590677,311.3599330357143,77942.28830668972,-1193996288,0,35,0
